,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,23726706,0.9500000000000001,False,IJburg - Zeeburgereiland,52.34916,4.97879,Private room,2,1,1,6,88.0,2,14,True,0,3,4.99,True,44.0,176.0,0.05,0.11,0.16,4.99,0.18082191780821918,503.6849315068493
1,35815036,1.0,True,Noord-Oost,52.42419,4.95689,Entire home/apt,2,1,1,5,105.0,3,100,True,4,6,4.96,False,52.5,315.0,0.05,0.12,0.16,4.99,0.6657534246575343,528.8767123287671
2,31553121,1.0,False,Noord-West,52.43237,4.91821,Entire home/apt,4,2,3,3,152.0,2,60,True,0,1,4.74,False,38.0,304.0,0.07,0.11,0.22,4.99,0.00821917808219178,816.5753424657535
3,34745823,0.9400000000000001,False,Gaasperdam - Driemond,52.2962,5.01231,Entire home/apt,2,1,2,8,87.0,2,1125,True,5,0,4.87,False,43.5,174.0,0.06,0.1,0.15,4.99,0.7945205479452054,422.2191780821918
4,44586947,0.88,True,Gaasperdam - Driemond,52.31475,5.0303,Private room,4,1,3,4,160.0,2,31,True,9,3,5.0,False,40.0,320.0,0.09,0.22,0.2,4.99,0.41643835616438357,800.8219178082192
5,15801253,0.86,False,Watergraafsmeer,52.34507,4.96413,Private room,3,1,3,1,90.0,2,1125,True,3,1,4.77,False,30.0,180.0,0.06,0.14,0.16,4.99,0.44931506849315067,614.2465753424658
6,19572024,1.0,False,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3,6,14,279.0,3,300,True,6,3,4.69,False,46.5,837.0,0.09,0.16,0.14,4.99,0.8164383561643835,1496.5479452054794
7,18801518,0.62,False,Watergraafsmeer,52.33828,4.96443,Private room,4,1,3,10,140.0,2,1125,True,0,0,4.66,False,35.0,280.0,0.05,0.17,0.17,4.99,0.6410958904109589,700.5616438356165
8,2973384,0.38,False,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3,3,7,185.0,6,21,True,0,0,4.83,False,37.0,1110.0,0.06,0.12,0.18,4.99,0.03561643835616438,941.3013698630137
9,34985473,1.0,True,Noord-Oost,52.42831,5.042191,Entire home/apt,5,3,4,4,135.0,6,1125,True,7,0,4.43,False,27.0,810.0,0.08,0.13,0.17,4.99,0.16164383561643836,748.5616438356165
10,620821365404674198,1.0,False,Bijlmer-Centrum,52.32977343580048,4.937511981512809,Private room,2,1,2,2,120.0,1,365,True,17,3,4.33,True,60.0,120.0,0.07,0.14,0.15,4.99,0.9397260273972603,600.0
11,44174770,1.0,True,Watergraafsmeer,52.33715,4.95199,Private room,1,1,1,8,59.0,30,1125,True,0,0,4.88,True,59.0,1770.0,0.05,0.12,0.15,2.99,0.6712328767123288,296.5068493150685
12,50888392,1.0,True,Gaasperdam - Driemond,52.30917,5.03833,Entire home/apt,4,2,2,13,150.0,2,1125,True,0,0,4.94,True,37.5,300.0,0.08,0.2,0.23,4.99,0.4191780821917808,750.0
13,31742663,0.9400000000000001,False,Gaasperdam - Driemond,52.29591,5.01325,Entire home/apt,2,1,2,6,89.0,2,1125,True,4,3,4.8,False,44.5,178.0,0.06,0.14,0.15,4.99,0.2876712328767123,433.3150684931507
14,48864190,0.97,False,IJburg - Zeeburgereiland,52.33851,4.99961,Entire home/apt,16,8,12,14,350.0,1,1125,True,19,0,4.82,True,21.88,350.0,-0.01,0.23,0.3,4.99,0.821917808219178,1971.9041095890411
15,50065811,0.92,False,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3,4,14,275.0,5,42,True,18,1,4.14,False,45.83,1375.0,0.02,0.15,0.28,4.99,0.4602739726027397,1375.0
16,51340421,0.64,False,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2,2,11,275.0,1,1125,True,10,3,4.73,False,68.75,275.0,0.11,0.15,0.23,4.99,0.8684931506849315,1372.2602739726028
17,18082645,0.29,False,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,3,2,6,150.0,4,1125,True,1,1,4.88,False,25.0,600.0,0.09,0.13,0.18,4.99,0.0684931506849315,895.8904109589041
18,33241583,1.0,True,Geuzenveld - Slotermeer,52.3886,4.83331,Private room,6,1,6,31,742.0,1,1125,True,23,2,4.2700000000000005,True,123.67,742.0,0.02,0.19,0.19,10.99,0.936986301369863,3362.7397260273974
19,33241443,1.0,True,Geuzenveld - Slotermeer,52.38818,4.83349,Private room,2,1,1,12,230.0,1,1125,True,20,0,4.7,True,115.0,230.0,0.06,0.15,0.22,4.99,0.9698630136986301,1131.027397260274
20,47709873,1.0,False,Westerpark,52.39589,4.87612,Entire home/apt,2,1,1,6,210.0,3,120,True,0,0,4.75,True,105.0,630.0,0.09,0.15,0.19,4.99,0.43561643835616437,1084.849315068493
21,35243521,0.4,False,Buitenveldert - Zuidas,52.31303,4.87458,Private room,2,1,2,6,153.0,1,3,True,10,0,4.89,False,76.5,153.0,0.06,0.25,0.18,4.99,0.1917808219178082,764.2465753424658
22,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1,2,4,49.0,3,28,True,3,4,4.47,True,24.5,147.0,0.08,0.1,0.14,0.99,0.20821917808219179,346.90410958904107
23,20168,0.72,False,Centrum-Oost,52.36407,4.89393,Private room,2,1,1,7,106.0,1,365,True,0,0,4.44,True,53.0,106.0,0.08,0.16,0.2,4.99,0.0,528.4931506849315
